Data;Produção - automóveis - montados - qde. - Unidade - Associação Nacional dos Fabricantes de Veículos Automotores, Anuário Estatístico da Indústria Automobilística Brasileira ou Carta Mensal (Anfavea) - ANFAVE_QVEICL;
1957;10449;
1958;20808;
1959;40171;
1960;70479;
1961;86437;
1962;118026;
1963;121666;
1964;132157;
1965;135041;
1966;157352;
1967;158362;
1968;185922;
1969;258675;
1970;319574;
1971;416563;
1972;482037;
1973;565221;
1974;670888;
1975;690943;
1976;721917;
1977;700649;
1978;828025;
1979;866399;
1980;873721;
1981;516329;
1982;619984;
1983;689897;
1984;601929;
1985;687360;
1986;736617;
1987;600373;
1988;690855;
1989;685262;
1990;604499;
1991;616970;
1992;667716;
1993;910464;
1994;1027152;
1995;1149940;
1996;1320105;
1997;1519529;
1998;1137219;
1999;1059533;
2000;1298437;
2001;1384368;
2002;1376219;
2003;1428270;
2004;1777642;
2005;1979545;
2006;2027305;
2007;2360739;
2008;2498482;
2009;2568167;
2010;2682924;
2011;2630893;
2012;2763445;
2013;2954279;
2014;2502122;
2015;2007240;
2016;1798894;
2017;2307443;
2018;2386758;
